Type,Algorithm,Time,Comparisons
RANDOM_2300,MSD Radix,2.55827,0
RANDOM_2300,MSD Sort,1.22864,26741
RANDOM_2300,MSD Radix + Quick,0.837258,9636
REVERSED_2300,std::sort,0.314775,6921
REVERSED_2300,MergeSort LCP,4.35882,33488
REVERSED_2300,Ternary QuickSort,4.14296,106274
REVERSED_2300,MSD Radix,2.47468,0
REVERSED_2300,MSD Sort,4.02712,106274
REVERSED_2300,MSD Radix + Quick,1.54556,29815
ALMOST_2300,std::sort,0.546542,13096
ALMOST_2300,MergeSort LCP,4.47158,38891
ALMOST_2300,Ternary QuickSort,3.44267,85377
ALMOST_2300,MSD Radix,2.57227,0
ALMOST_2300,MSD Sort,3.44732,85377
ALMOST_2300,MSD Radix + Quick,1.00556,13343
WITHPREFIX_2300,std::sort,2.00082,29168
WITHPREFIX_2300,MergeSort LCP,10.7575,397053
